"Activity","Allocation"
"Iron and steel manufacturing from iron sand",16338444
"Aluminium smelting",11036253
"Methanol",8841205
"Cementitious products",6083337
"Market pulp",5491730
"Carbamide (urea)",2628483
"Packaging and industrial paper",2106803
"Newsprint",1959598
"Burnt lime",1660200
"Cartonboard",1276451
"Protein meal",853672
"Reconstituted wood panels",610000
"Glass containers",527785
"Lactose",414047
"Fresh tomatoes",365712
"Tissue paper",279928
"Carbon steel from cold ferrous feed",240048
"Fresh capsicums",233806
"Hydrogen peroxide",176797
"Fresh cucumbers",143191
"Caustic soda",131468
"Ethanol",80300
"Cut roses",42659
"Whey powder",36366
"Gelatine",23144
"Clay bricks and field tiles",13545
