"year","emissions"
1990,3.49010922481175
1991,3.91722658263211
1992,5.03476753694865
1993,4.13609886505442
1994,3.30479892155204
1995,3.03198249592259
1996,4.00850563635152
1997,5.93599930227203
1998,4.40731092395587
1999,5.67726546740315
2000,5.35117565964564
2001,6.83024837937473
2002,6.02743615589336
2003,7.37977704059451
2004,6.98470295796127
2005,9.00826377200165
2006,8.84587552618496
2007,7.25427943863626
2008,8.54226038932156
2009,6.2608879280844
2010,5.56562817863511
2011,5.04687877834581
2012,6.45412851684315
2013,5.20711835195086
2014,4.24507073397759
2015,4.0397338264881
2016,3.06045983888961
2017,3.62590314959031
2018,3.48147137634846
2019,4.21606637343913
2020,4.6175528039621
